Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Security,Industry,Sub-Industry,State,2023,Submitted,C
3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",2023,Submitted,B-
Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",2023,Submitted,B
AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2023,Submitted,B
Adobe,Information Technology,Application Software,"San Jose, California",2023,Submitted,A-
Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2023,Submitted,B
AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2023,Submitted,A-
Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",2023,Submitted,B
Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2023,Submitted,B
Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",2023,Submitted,A-
Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023,Submitted,B
Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2023,Submitted,A-
Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2023,Submitted,B-
Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2023,Submitted,B
Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2023,No Response,F
Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2023,Submitted,Not Scored
Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",2023,Submitted,Not Available
Alphabet,Communication Services,Interactive Media & Services,"Mountain View, California",2023,Submitted,A
Altria,Consumer Staples,Tobacco,"Richmond, Virginia",2023,Submitted,A-
Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2023,Submitted,B
Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",2023,Submitted,B
American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",2023,Submitted,Not Scored
American Express,Financials,Consumer Finance,"New York City, New York",2023,Submitted,B
American International Group,Financials,Multi-line Insurance,"New York City, New York",2023,Submitted,C
American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2023,Submitted,B
American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2023,Submitted,B
Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2023,Submitted,C
Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2023,Submitted,Not Scored
Amgen,Health Care,Biotechnology,"Thousand Oaks, California",2023,Submitted,B
Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2023,Submitted,B-
Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",2023,Submitted,C
Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2023,Submitted,B
Aon,Financials,Insurance Brokers,"London, UK",2023,No Response,F
Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",2023,No Response,F
Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",2023,Submitted,A-
Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2023,No Response,F
Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",2023,Submitted,B
Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2023,Submitted,C
Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2023,Submitted,Not Available
Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2023,Submitted,B
AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",2023,Submitted,A
Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2023,No Response,F
