Security,Sector,Sub-Sector,City/State
A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin"
Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
Allegion,Industrials,Building Products,"Dublin, Ireland"
Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia"
APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
Brownâ€“Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri"
"BXP,",Real Estate,Office REITs,"Boston, Massachusetts"
Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania"
Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota"
Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California"
D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas"
EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania"
EstÃ©e Lauder Companies,Consumer Staples,Personal Care Products,"New York City, New York"
Everest Group,Financials,Reinsurance,"Hamilton, Bermuda"
Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts"
Gen Digital,Information Technology,Systems Software,"Tempe, Arizona"
HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee"
Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts"
Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey"
LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois"
Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
Marsh McLennan,Financials,Insurance Brokers,"New York City, New York"
Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland"
Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California"
Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio"
Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois"
Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia"
"NVR,",Consumer Discretionary,Homebuilding,"Reston, Virginia"
NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands"
O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri"
Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom"
RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
"Rollins,",Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland"
Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota"
Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California"
"Tapestry,",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland"
Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas"
Trane Technologies,Industrials,Building Products,"Dublin, Ireland"
"UDR,",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado"
Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts"
W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut"
